,Title,Vote_Average
734,American Reunion,6.3
735,17 Again,6.3
736,The Scientist,6.4
737,The Grinch,6.8
738,A Taste of Hunger,5.7
739,The Hangover Part III,6.2
740,Special Forces,6.7
741,August Never Ends,2.0
742,I Want to Eat Your Pancreas,8.3
743,Sentinelle,5.9
744,Naruto Shippuden the Movie: The Will of Fire,7.3
745,Aladdin,7.6
746,Escape the Undertaker,5.3
747,How the Grinch Stole Christmas,6.7
748,Star Wars: The Rise of Skywalker,6.4
749,Sucker Punch,6.1
750,Cell 211,7.5
751,Pixels,5.7
752,No Sudden Move,6.4
753,Bambi,7.0
754,Yes Man,6.6
755,Butchers,4.9
756,The Exorcist,7.7
757,The New Mutants,6.3
758,TEKKEN,5.4
759,Mickey's Tale of Two Witches,7.2
760,Euphoria,6.4
761,Dumbo,7.0
762,Werewolves Within,6.2
763,Wrath of the Titans,5.7
764,Unknown,6.7
765,Megalodon,5.7
766,The Texas Chain Saw Massacre,7.3
767,Batman: Hush,7.3
768,Phineas and Ferb: The Movie: Candace Against the Universe,7.5
769,Alice in Wonderland,7.2
770,A Whisker Away,8.0
771,Lulli,6.0
772,The Secret Life of Pets 2,7.0
773,The Virtuoso,6.3
774,Assassins,7.3
775,Dragon Ball Z: Lord Slug,6.4
776,Uncle Drew,6.7
777,Fairy Tail: Dragon Cry,6.6
778,Dinosaur Hotel,5.2
779,Saving Private Ryan,8.2
780,Insurgent,6.4
781,No Strings Attached,6.3
782,The First Purge,6.0
783,xXx: Return of Xander Cage,5.8
784,Blended,6.8
785,Star Wars: The Force Awakens,7.3
786,Bloodthirsty,5.7
787,Suicide Squad,5.9
788,The Seventh Day,5.6
789,Scream,7.3
790,The Good Dinosaur,6.7
791,Saint Seiya: Legend of Sanctuary,6.5
792,Alone,6.2
793,America: The Motion Picture,5.8
794,Kong: Skull Island,6.5
795,Zombieland,7.3
796,Annabelle Comes Home,6.4
797,Jackie Chan Kung Fu Master,4.4
798,Thinking XXX,5.0
799,Attack on Titan,5.9
800,My Father's Violin,8.0
801,Millonario sin amor,8.0
802,TRON: Legacy,6.4
803,Godzilla,6.3
804,Men in Black 3,6.5
805,Descendants,7.1
806,Sleeping Beauty,6.9
807,Split,7.3
808,Vanquish,5.8
809,The Tax Collector,5.7
810,Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai,6.8
811,Hansel & Gretel: Witch Hunters,6.0
812,Kabaneri of the Iron Fortress: The Battle of Unato,7.1
813,New Gods: Nezha Reborn,8.3
814,The Hunger Games: Mockingjay - Part 2,6.9
815,Those Who Wish Me Dead,6.8
816,A Boy Called Christmas,7.6
817,Cinderella,6.6
818,One Hundred and One Dalmatians,7.2
819,Dragon Ball: Yo! Son Goku and His Friends Return!!,6.3
820,The Kissing Booth,7.3
821,Now You See Me,7.4
822,The Purge: Election Year,6.4
823,Long Story Short,7.0
824,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,7.8
825,A Haunted House,5.7
826,22 Bullets,6.6
827,101 Dalmatians,5.9
828,The Jungle Book,7.3
829,It,7.2
830,Trolls World Tour,7.4
831,The Lost City,0.0
832,Vacation Friends,7.2
833,Mission: Impossible - Ghost Protocol,7.0
834,The Little Things,6.4
835,Tokyo Ghoul,7.0
836,John Wick,7.4
837,Hotel Transylvania 2,6.8
838,Jumanji: Welcome to the Jungle,6.8
839,A Walk Among the Tombstones,6.3
840,Underworld: Awakening,6.3
841,Young and Wild,6.3
842,Wild Card,5.6
843,Tune in for Love,7.9
844,The Sorcerer and the White Snake,6.2
845,The Funeral Home,4.6
846,Peter Pan,7.2
847,Star Wars: The Last Jedi,6.9
848,The Book of Life,7.5
849,Bumblebee,6.7
850,Maquia: When the Promised Flower Blooms,8.3
851,Benny Loves You,6.3
852,Licorice Pizza,7.1
853,The Larva Island Movie,7.3
854,Finding Grace,6.3
