invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
10356,7/24/15 13:12,G816,7070884,70203,1,2
10367,7/24/15 13:12,G816,7090363,70401,1,6
10380,7/24/15 13:32,G816,7000300,210101,1,2
10390,7/24/15 13:32,G816,7070884,70203,2,2
10409,7/24/15 13:32,G816,7070969,70401,1,6
10420,7/24/15 13:34,G619,7000126,210301,1,2
10103,7/24/15 14:51,G816,7071331,70301,1,4
10114,7/24/15 14:59,G816,7070891,70401,1,6
10126,7/24/15 16:21,G816,7070884,70203,1,2
10140,7/24/15 16:21,G816,7090370,70401,1,6
10151,7/24/15 16:26,G816,7070884,70203,1,2
10165,7/24/15 16:29,G619,7070969,70401,1,6
10175,7/24/15 16:29,G619,7071102,70201,1,5.5
10184,7/24/15 16:47,G816,7070884,70203,1,2
10194,7/24/15 16:47,G816,7090363,70401,2,6
10207,7/24/15 16:47,G816,15000231,70301,2,2
10217,7/24/15 17:44,G619,7071102,70201,1,5.5
10229,7/24/15 17:47,G619,7070884,70203,4,2
10246,7/24/15 18:06,G816,7000300,210101,1,2
10259,7/24/15 18:06,G816,7090370,70401,1,6
10271,7/24/15 18:24,G816,7070891,70401,1,6
10281,7/24/15 18:24,G816,15000231,70301,1,2
10291,7/24/15 18:47,G816,15000231,70301,1,2
10305,7/24/15 19:03,G816,7070884,70203,1,2
10313,7/24/15 19:03,G816,7071096,70201,1,5
10322,7/24/15 19:03,G816,7090363,70401,1,6
10334,7/24/15 19:03,G816,7070884,70203,1,2
10347,7/24/15 19:03,G816,7070891,70401,2,6
10357,7/24/15 19:03,G816,7090370,70401,1,6
10370,7/24/15 19:15,G816,7070884,70203,1,2
10381,7/24/15 19:15,G816,15000231,70301,1,2
10391,7/24/15 19:16,G816,7070891,70401,1,6
10412,7/24/15 19:16,G816,7071096,70201,1,5
10425,7/24/15 19:25,G816,7070884,70203,1,2
10106,7/24/15 19:34,G619,7070969,70401,1,5.75
10120,7/24/15 19:34,G619,7070969,70401,1,5.75
10133,7/24/15 19:34,G619,7071096,70201,1,5
10145,7/24/15 19:52,G619,7070891,70401,1,6
10168,7/24/15 20:07,G619,7000140,210301,1,1.5
10210,7/24/15 20:07,G619,7000140,210301,1,1.5
10223,7/24/15 20:08,G619,7000300,210101,1,2
10235,7/24/15 20:08,G619,7308765,210301,1,2.5
10250,7/24/15 20:08,G619,7308765,210301,1,2.5
10263,7/24/15 20:09,G619,7000423,210301,1,1.5
10275,7/24/15 20:41,G619,7071102,70201,1,5.5
10284,7/24/15 21:32,G300,7000034,210101,1,2
10297,7/24/15 21:33,G300,7308017,210101,1,3
10308,7/24/15 21:41,G816,7000300,210101,2,2
10318,7/24/15 22:02,G628,7308765,210301,3,2.5
10327,7/24/15 23:00,G628,7000300,210101,1,2
10339,7/24/15 23:00,G628,7308765,210301,1,2.5
10353,7/24/15 23:04,G300,7308765,210301,1,2.5
10374,7/24/15 23:14,G619,7070891,70401,1,6
10386,7/24/15 23:34,G619,7070969,70401,2,6
10398,7/25/15 0:22,G619,7070969,70401,1,6
10401,7/25/15 0:27,G619,7308017,210101,1,3.5
10416,7/25/15 1:00,G619,21000782,210301,1,3.5
10107,7/25/15 1:00,G619,21000782,210301,1,3.5
10120,7/25/15 1:50,G300,7308017,210101,1,3
10134,7/25/15 2:10,G628,7000300,210101,4,2
10145,7/25/15 3:12,G300,7308765,210301,1,2.5
